Bit;SMARTS
KR2272;[!#1]N([CH]([CH2]c1[cH][cH]c([cH][cH]1)[N+](=O)[O-])C(=O)[!#1])C(=O)c2[cH][cH][cH][cH]c2C(=O)[!#1]
KR2273;[!#1]N([CH]([CH3])[CH3])[CH]([CH3])[CH3]
KR2274;[!#1]N([CH]1[CH2][CH2][CH2][CH2][CH2]1)[CH]2[CH2][CH2][CH2][CH2][CH2]2
KR2275;[!#1]N([CH2][CH2][CH2][CH2][CH2]C(=O)[!#1])C(=O)c1[cH][cH][cH][cH]c1C(=O)[!#1]
KR2276;[!#1]N([CH2][CH2][CH2][CH3])[CH2][CH2][CH2][CH3]
KR2277;[!#1]N([CH2][CH2][CH2][CH3])C(=O)[!#1]
KR2278;[!#1]N([CH2][CH2][CH2]C(=O)[!#1])[CH2]C(=O)[!#1]
KR2279;[!#1]N([CH2][CH2][CH2]C(=O)[!#1])C(=O)c1[cH][cH][cH][cH]c1C(=O)[!#1]
KR2280;[!#1]N([CH2][CH2][CH2]C(=O)[!#1])C(=S)SC([!#1])([!#1])C(=O)[!#1]
KR2281;[!#1]N([CH2][CH2][CH2]C(=O)[!#1])c1[cH][cH]c([cH][cH]1)S(=O)(=O)[!#1]
KR2282;[!#1]N([CH2][CH2][CH2]S(=O)(=O)[OH])c1[cH][cH][cH][cH]c1SC([!#1])([!#1])[!#1]
KR2283;[!#1]N([CH2][CH2][OH])[CH2][CH2][OH]
KR2284;[!#1]N([CH2][CH2]C(=O)[!#1])C(=O)c1[cH][cH][cH][cH]c1C(=O)[!#1]
KR2285;[!#1]N([CH2][CH2]C(=O)[!#1])C(=S)SC([!#1])([!#1])C(=O)[!#1]
KR2286;[!#1]N([CH2][CH2]C(=O)[OH])C(=S)SC([!#1])([!#1])C(=O)[!#1]
KR2287;[!#1]N([CH2][CH3])[CH2][CH2][OH]
KR2288;[!#1]N([CH2][CH3])[CH2][CH3]
KR2289;[!#1]N([CH2][CH3])C(=O)[!#1]
KR2290;[!#1]N([CH2][CH3])c1[cH][cH][cH][cH][cH]1
KR2291;[!#1]N([CH2]C([CH3])([CH3])[CH2][CH]=C([CH3])[CH3])C(=O)[CH3]
KR2292;[!#1]N([CH2]C(=O)[!#1])C(=O)c1[cH][cH][cH][cH]c1C(=O)[!#1]
KR2293;[!#1]N([CH2]C(=O)[!#1])C(=O)c1[cH][cH][cH]c2[cH][cH][cH]c(C(=O)[!#1])c12
KR2294;[!#1]N([CH2]C(=O)[!#1])C(=O)SC([!#1])([!#1])C(=O)[!#1]
KR2295;[!#1]N([CH2]C(=O)[!#1])C(=S)SC([!#1])([!#1])C(=O)[!#1]
KR2296;[!#1]N([CH2]C(=O)[OH])[CH2]C(=O)[OH]
KR2297;[!#1]N([CH2]C(=O)[OH])C(=S)SC([!#1])([!#1])C(=O)[!#1]
KR2298;[!#1]N([CH2]c1[cH][cH][cH][cH][cH]1)[CH2]c2[cH][cH][cH][cH][cH]2
KR2299;[!#1]N([CH2]c1[cH][cH][cH][cH][cH]1)C([CH3])([CH3])[CH3]
KR2300;[!#1]N([CH2]c1[cH][cH][cH][cH][cH]1)C(=S)SC([!#1])([!#1])C(=O)[!#1]
KR2301;[!#1]N([CH2]c1[cH][cH]c(Cl)[cH]c1Cl)c2[cH][cH][cH]c(Cl)[cH]2
KR2302;[!#1]N([CH2]c1[cH][cH]c(F)[cH][cH]1)c2[cH][cH]c(I)[cH][cH]2
KR2303;[!#1]N([CH3])[CH2][CH2][OH]
KR2304;[!#1]N([CH3])[CH2]C(=O)[OH]
KR2305;[!#1]N([CH3])[CH2]c1[cH][cH][cH][cH][cH]1
KR2306;[!#1]N([CH3])[CH3]
KR2307;[!#1]N([CH3])C(=[NH])[NH]C(=[NH])[NH2]
KR2308;[!#1]N([CH3])C(=O)[!#1]
KR2309;[!#1]N([CH3])C(=O)[CH3]
KR2310;[!#1]N([CH3])c1[cH][cH][cH][cH][cH]1
KR2311;[!#1]N([CH3])c1[cH][cH][cH][cH]c1C([!#1])([!#1])C(=O)[!#1]
KR2312;[!#1]N([CH3])c1[cH][cH]c([!#1])[cH][cH]1
KR2313;[!#1]N([CH3])c1[cH]c([!#1])c2[cH][cH][cH][cH]c2n1
KR2314;[!#1]N([CH3])S(=O)(=O)[!#1]
KR2315;[!#1]N(C(=O)[!#1])S(=O)(=O)[!#1]
KR2316;[!#1]N(C(=O)[CH]([CH2]C(=O)[!#1])S[CH2]C(=O)[!#1])c1[cH][cH][cH]c(Cl)[cH]1
KR2317;[!#1]N(C(=O)[CH2][CH2][CH3])S(=O)(=O)[!#1]
KR2318;[!#1]N(C(=O)[CH3])C(=O)[CH3]
KR2319;[!#1]N(C(=O)c1[cH]c([cH][cH]c1C(=O)[!#1])C(=O)[!#1])c2[cH][cH]c([cH][cH]2)C(=O)[!#1]
KR2320;[!#1]N(C(=O)c1[cH]c([cH][cH]c1C(=O)[!#1])C(=O)[OH])c2[cH][cH]c([!#1])[cH][cH]2
KR2321;[!#1]N(C(=S)SC([!#1])([!#1])C(=O)[!#1])c1[cH][cH]c([cH][cH]1)C(=O)[OH]
KR2322;[!#1]N(c1[cH][cH][cH][cH][cH]1)c2[cH][cH][cH][cH][cH]2
KR2323;[!#1]N=[CH][CH]([!#1])[!#1]
KR2324;[!#1]N=[CH][CH]=N[!#1]
KR2325;[!#1]N=[CH]c1[cH][cH][cH][cH][cH]1
KR2326;[!#1]N=[CH]c1[cH][cH][cH][cH]c1[N+](=O)[O-]
KR2327;[!#1]N=[CH]c1[cH][cH][cH][cH]c1[OH]
KR2328;[!#1]N=[CH]c1[cH][cH][cH][cH]c1F
KR2329;[!#1]N=[CH]c1[cH][cH][cH][nH]1
KR2330;[!#1]N=[CH]c1[cH][cH][cH]c([cH]1)[N+](=O)[O-]
KR2331;[!#1]N=[CH]c1[cH][cH][cH]c([OH])[cH]1
KR2332;[!#1]N=[CH]c1[cH][cH][cH]c(Cl)[cH]1
KR2333;[!#1]N=[CH]c1[cH][cH][cH]c2[cH][cH][cH][cH]c12
KR2334;[!#1]N=[CH]c1[cH][cH][cH]n[cH]1
KR2335;[!#1]N=[CH]c1[cH][cH][cH]o1
KR2336;[!#1]N=[CH]c1[cH][cH]c([!#1])[cH][cH]1
KR2337;[!#1]N=[CH]c1[cH][cH]c([!#1])o1
KR2338;[!#1]N=[CH]c1[cH][cH]c([cH][cH]1)[N+](=O)[O-]
KR2339;[!#1]N=[CH]c1[cH][cH]c([cH][cH]1)N([!#1])[CH2][CH3]
KR2340;[!#1]N=[CH]c1[cH][cH]c([cH][cH]1)N([!#1])[CH3]
KR2341;[!#1]N=[CH]c1[cH][cH]c([CH]=N[!#1])[cH][cH]1
KR2342;[!#1]N=[CH]c1[cH][cH]c([CH3])o1
KR2343;[!#1]N=[CH]c1[cH][cH]c([OH])[cH][cH]1
KR2344;[!#1]N=[CH]c1[cH][cH]c([OH])[cH]c1[OH]
KR2345;[!#1]N=[CH]c1[cH][cH]c([OH])c([OH])[cH]1
KR2346;[!#1]N=[CH]c1[cH][cH]c(Br)[cH][cH]1
KR2347;[!#1]N=[CH]c1[cH][cH]c(Br)s1
KR2348;[!#1]N=[CH]c1[cH][cH]c(C#Cc2[cH][cH][cH][cH][cH]2)[cH][cH]1
KR2349;[!#1]N=[CH]c1[cH][cH]c(Cl)[cH][cH]1
KR2350;[!#1]N=[CH]c1[cH][cH]c(Cl)[cH]c1Cl
KR2351;[!#1]N=[CH]c1[cH][cH]c(s1)[N+](=O)[O-]
KR2352;[!#1]N=[CH]c1[cH][cH]c2n([!#1])c3[cH][cH][cH][cH]c3c2[cH]1
KR2353;[!#1]N=[CH]c1[cH][cH]c2O[CH2]Oc2[cH]1
KR2354;[!#1]N=[CH]c1[cH][nH]c2[cH][cH][cH][cH]c12
KR2355;[!#1]N=[CH]c1[cH]c([cH][cH]c1[OH])[N+](=O)[O-]
KR2356;[!#1]N=[CH]c1[cH]c(Br)[cH][cH]c1[OH]
KR2357;[!#1]N=[CH]c1[cH]c(Br)[cH]c(c1[OH])C([CH3])([CH3])[CH3]
KR2358;[!#1]N=[CH]c1[cH]c(c([OH])c([cH]1)C([CH3])([CH3])[CH3])C([CH3])([CH3])[CH3]
KR2359;[!#1]N=[CH]c1[cH]c(Cl)[cH]c(Cl)c1[OH]
KR2360;[!#1]N=[CH]c1[cH]c2O[CH2]Oc2[cH]c1[N+](=O)[O-]
KR2361;[!#1]N=[CH]c1c([CH3])[nH]n([!#1])c1=O
KR2362;[!#1]N=[CH]c1c([OH])[cH][cH]c2[cH][cH][cH][cH]c12
KR2363;[!#1]N=[CH]c1c2[cH][cH][cH][cH]c2[cH]c3[cH][cH][cH][cH]c13
KR2364;[!#1]N=[CH]c1s[cH][cH]c1[CH3]
KR2365;[!#1]N=[CH]N([CH3])[CH3]
KR2366;[!#1]N=[N+]([!#1])[O-]
KR2367;[!#1]N=[N+]=[N-]
KR2368;[!#1]N=C([CH]([!#1])[!#1])[CH]([!#1])[!#1]
KR2369;[!#1]N=C([CH3])N([CH3])[CH3]
KR2370;[!#1]N=C(O[CH3])c1[cH][cH]c([CH3])[cH][cH]1
KR2371;[!#1]N=C(OC(=O)C([!#1])([!#1])[!#1])c1[cH][cH][cH][cH][cH]1
KR2372;[!#1]N=C1[CH](C(=O)c2[cH][cH][cH][cH]c12)c3[cH][cH][cH][cH][cH]3
KR2373;[!#1]N=c1[cH][cH]n([!#1])[cH][cH]1
KR2374;[!#1]N=C1[CH2][CH2][CH2]c2[cH][cH][cH][cH]c2[NH]1
KR2375;[!#1]N=C1[NH]C(=[NH])c2[cH][cH][cH][cH]c12
KR2376;[!#1]N=C1C(=O)[NH]c2[cH][cH][cH][cH]c12
KR2377;[!#1]N=c1s[cH]c([!#1])n1[!#1]
KR2378;[!#1]N=c1s[cH]c(c2[cH][cH]c([!#1])[cH][cH]2)n1[!#1]
KR2379;[!#1]N=N[!#1]
KR2380;[!#1]N=O
KR2381;[!#1]N1[CH]([CH3])[CH2][CH2][CH2][CH]1[CH3]
KR2382;[!#1]N1[CH](S[CH2]C1=O)c2[cH][cH][cH][cH][cH]2
KR2383;[!#1]n1[cH][cH][cH][cH]c1=[NH]
KR2384;[!#1]n1[cH][cH][cH]c([CH3])c1=[NH]
KR2385;[!#1]n1[cH][cH][cH]c1[CH]=O
KR2386;[!#1]n1[cH][cH][cH]n1
KR2387;[!#1]n1[cH][cH][cH]nc1=[NH]
KR2388;[!#1]n1[cH][cH]c([CH3])n1
KR2389;[!#1]n1[cH][cH]c(=[NH])[cH][cH]1
KR2390;[!#1]n1[cH][cH]c(=N[CH2]c2[cH][cH][cH][cH][cH]2)[cH][cH]1
KR2391;[!#1]n1[cH][cH]c(=O)[nH]c1=O
KR2392;[!#1]n1[cH][cH]c2[cH][cH][cH][cH]c12
KR2393;[!#1]n1[cH][cH]n[cH]1
KR2394;[!#1]n1[cH][cH]nc1[CH3]
KR2395;[!#1]n1[cH][cH]nc1[N+](=O)[O-]
KR2396;[!#1]n1[cH][cH]sc1=[NH]
KR2397;[!#1]n1[cH]c(Br)[cH][cH]c1=[NH]
KR2398;[!#1]n1[cH]n[cH]n1
KR2399;[!#1]n1[cH]n[n+]([!#1])[cH]1
KR2400;[!#1]n1[cH]nc([cH]1)[N+](=O)[O-]
KR2401;[!#1]n1[cH]nc(=O)[cH]n1
KR2402;[!#1]n1[cH]nc2[cH][cH][cH][cH]c12
KR2403;[!#1]n1[cH]nn[cH]1
KR2404;[!#1]N1[CH2][CH]([CH2]C1=O)c2[cH][cH][cH][cH][cH]2
KR2405;[!#1]N1[CH2][CH]([CH3])C([OH])([CH2][CH]1[CH3])c2[cH][cH][cH][cH][cH]2
KR2406;[!#1]N1[CH2][CH2][CH]([CH2]1)c2[cH][cH][cH][cH][cH]2
KR2407;[!#1]N1[CH2][CH2][CH]([CH2]c2[cH][cH][cH][cH][cH]2)[CH2][CH2]1
KR2408;[!#1]N1[CH2][CH2][CH]([CH3])[CH2][CH2]1
KR2409;[!#1]N1[CH2][CH2][CH]=[CH][CH2]1
KR2410;[!#1]N1[CH2][CH2][CH2][CH]1C(=O)[OH]
KR2411;[!#1]N1[CH2][CH2][CH2][CH2][CH]1[CH2][CH3]
KR2412;[!#1]N1[CH2][CH2][CH2][CH2][CH2][CH2]1
KR2413;[!#1]N1[CH2][CH2][CH2][CH2][CH2]1
KR2414;[!#1]N1[CH2][CH2][CH2][CH2]1
KR2415;[!#1]N1[CH2][CH2][CH2]C1=O
KR2416;[!#1]N1[CH2][CH2][CH2]c2[cH][cH][cH][cH]c12
KR2417;[!#1]N1[CH2][CH2][CH2]c2c([!#1])c3[cH][cH][cH][cH]c3nc12
KR2418;[!#1]N1[CH2][CH2][CH2]N([!#1])[CH2][CH2]1
KR2419;[!#1]N1[CH2][CH2][NH][CH2][CH2]1
KR2420;[!#1]N1[CH2][CH2]C(=[CH][CH2]1)[!#1]
KR2421;[!#1]N1[CH2][CH2]C(=O)[CH2][CH2]1
KR2422;[!#1]N1[CH2][CH2]C2([CH2][CH2]1)O[CH2][CH2]O2
KR2423;[!#1]N1[CH2][CH2]c2[cH][cH][cH][cH]c12
KR2424;[!#1]N1[CH2][CH2]c2c([CH2]1)c3[cH][cH][cH][cH]c3n2[!#1]
KR2425;[!#1]N1[CH2][CH2]c2c1nc3[cH][cH][cH][cH]c3c2[!#1]
KR2426;[!#1]N1[CH2][CH2]c2c1nc3[cH][cH]c([!#1])[cH]c3c2[!#1]
KR2427;[!#1]N1[CH2][CH2]N([!#1])[CH]1c2[cH][cH]c([!#1])[cH][cH]2
KR2428;[!#1]N1[CH2][CH2]N([!#1])[CH2][CH2]1
KR2429;[!#1]N1[CH2][CH2]N([CH2][CH]=[CH]c2[cH][cH][cH][cH][cH]2)[CH2][CH2]1
KR2430;[!#1]N1[CH2][CH2]N([CH2][CH2]1)[CH]2[CH2]C(=O)N(C2=O)c3[cH][cH][cH][cH][cH]3
KR2431;[!#1]N1[CH2][CH2]N([CH2][CH2]1)[CH]2[CH2]C(=O)N(C2=O)c3[cH][cH][cH]c([!#1])[cH]3
KR2432;[!#1]N1[CH2][CH2]N([CH2][CH2]1)[CH]2[CH2]C(=O)N(C2=O)c3[cH][cH]c([!#1])[cH][cH]3
KR2433;[!#1]N1[CH2][CH2]N([CH2][CH2]1)C(=O)[!#1]
KR2434;[!#1]N1[CH2][CH2]N([CH2][CH2]1)c2[cH][cH][cH][cH][cH]2
KR2435;[!#1]N1[CH2][CH2]N([CH2][CH2]1)c2[cH][cH][cH][cH]c2[!#1]
KR2436;[!#1]N1[CH2][CH2]N([CH2][CH2]1)c2[cH][cH][cH][cH]c2O[CH3]
KR2437;[!#1]N1[CH2][CH2]N([CH2][CH2]1)c2[cH][cH][cH][cH]n2
KR2438;[!#1]N1[CH2][CH2]N([CH2][CH2]1)c2[cH][cH]c([!#1])[cH][cH]2
KR2439;[!#1]N1[CH2][CH2]N([CH2][CH2]1)c2[cH][cH]c([cH][cH]2)[N+](=O)[O-]
KR2440;[!#1]N1[CH2][CH2]N([CH2][CH2]1)c2[cH][cH]c(Cl)[cH][cH]2
KR2441;[!#1]N1[CH2][CH2]N([CH2][CH2]1)c2[cH][cH]c(F)[cH][cH]2
KR2442;[!#1]N1[CH2][CH2]N([CH2][CH2]1)c2[cH][cH]c3[cH][cH][cH][cH]c3n2
KR2443;[!#1]N1[CH2][CH2]N([CH2][CH2]1)S(=O)(=O)[!#1]
KR2444;[!#1]N1[CH2][CH2]N([CH3])[CH2][CH2]1
KR2445;[!#1]N1[CH2][CH2]N2[CH2][CH2][CH2][CH]2[CH2]1
KR2446;[!#1]N1[CH2][CH2]n2c3[CH]1[CH2][CH2][CH2]c3c4[cH]c([!#1])[cH][cH]c24
KR2447;[!#1]N1[CH2][CH2]n2c3[CH]1[CH2][CH2][CH2]c3c4[cH]c([CH3])[cH][cH]c24
KR2448;[!#1]N1[CH2][CH2]O[CH2][CH2]1
KR2449;[!#1]N1[CH2][CH2]O[CH2][CH2]O[CH2][CH2][NH][CH2][CH2]O[CH2][CH2]O[CH2][CH2]1
KR2450;[!#1]N1[CH2][CH2]O[CH2][CH2]O[CH2][CH2]N([!#1])[CH2][CH2]O[CH2][CH2]O[CH2][CH2]1
KR2451;[!#1]N1[CH2][CH2]O[CH2][CH2]O[CH2][CH2]O[CH2][CH2]O[CH2][CH2]1
KR2452;[!#1]N1[CH2][CH2]O[CH2][CH2]O[CH2][CH2]O[CH2][CH2]O[CH2][CH2]O[CH2][CH2]1
KR2453;[!#1]N1[CH2][CH2]SC1=[NH]
KR2454;[!#1]N1[CH2]C([!#1])([!#1])C(=O)C([!#1])([!#1])[CH2]1
KR2455;[!#1]N1[CH2]C(=O)[NH]c2[cH][cH][cH][cH]c12
KR2456;[!#1]N1[CH2]C(=O)N([!#1])C(=O)[CH2]1
KR2457;[!#1]N1[CH2]c2[cH][cH][cH][cH]c2[CH2]1
KR2458;[!#1]N1[CH2]c2[cH][cH][cH][cH]c2C1=O
KR2459;[!#1]n1c([CH3])[cH][cH]c1[CH3]
KR2460;[!#1]n1c([CH3])[cH]c([CH3])nc1=O
KR2461;[!#1]n1c([CH3])n[cH]c1[N+](=O)[O-]
KR2462;[!#1]n1c([CH3])nc2[cH][cH][cH][cH]c12
KR2463;[!#1]n1c(=[NH])n([!#1])c2[cH][cH][cH][cH]c12
KR2464;[!#1]n1c(=[NH])sc2[cH][cH][cH][cH]c12
KR2465;[!#1]N1C(=O)[CH]=[CH]C1=O
KR2466;[!#1]N1C(=O)[CH]2[CH]([CH]3[CH]=[CH][CH]2[CH]4[CH]3C(=O)N([!#1])C4=O)C1=O
KR2467;[!#1]N1C(=O)[CH]2[CH]([CH]3[CH]=[CH][CH]2[CH]4[CH2][CH]43)C1=O
KR2468;[!#1]N1C(=O)[CH]2[CH]([CH]3c4[cH][cH][cH][cH]c4[CH]2c5[cH][cH][cH][cH]c35)C1=O
KR2469;[!#1]N1C(=O)[CH]2[CH]3[CH2][CH]([CH]=[CH]3)[CH]2C1=O
KR2470;[!#1]N1C(=O)[CH]2[CH]3OC([!#1])([CH]=[CH]3)[CH]2C1=O
KR2471;[!#1]N1C(=O)[CH2][CH2]C1=O
KR2472;[!#1]N1C(=O)[CH2][NH][CH2]C1=O
KR2473;[!#1]N1C(=O)[CH2]SC1=S
KR2474;[!#1]N1C(=O)[NH]C2([CH2][CH2][CH2][CH2][CH2]2)C1=O
KR2475;[!#1]N1C(=O)[NH]C2([CH2][CH2][CH2][CH2]2)C1=O
KR2476;[!#1]N1C(=O)C([!#1])([OH])c2[cH][cH][cH][cH]c12
KR2477;[!#1]N1C(=O)C(=[CH]c2[cH][cH][cH][cH][cH]2)SC1=S
KR2478;[!#1]N1C(=O)C(=[CH]c2[cH][cH]c(Cl)[cH][cH]2)SC1=S
KR2479;[!#1]N1C(=O)C(=[CH]c2[cH][cH]c(F)[cH][cH]2)SC1=S
KR2480;[!#1]N1C(=O)C(=[CH]c2[cH][cH]c(O[CH3])[cH][cH]2)SC1=S
KR2481;[!#1]N1C(=O)C(=C2C(=O)[NH]c3[cH][cH][cH][cH]c23)SC1=S
KR2482;[!#1]N1C(=O)C(=C2SC(=S)N([!#1])C2=O)SC1=S
KR2483;[!#1]N1C(=O)C(=C2S(c3[cH][cH][cH][cH]c3N2[!#1])SC1=S)
KR2484;[!#1]N1C(=O)C(=O)c2[cH][cH][cH][cH]c12
KR2485;[!#1]N1C(=O)C(=O)c2[cH]c([!#1])[cH][cH]c12
KR2486;[!#1]N1C(=O)c2[cH][cH][cH][cH]c2C1=O
KR2487;[!#1]N1C(=O)c2[cH][cH][cH]c3[cH][cH][cH]c(C1=O)c23
KR2488;[!#1]N1C(=O)c2[cH][cH][cH]c3c([!#1])[cH][cH]c(C1=O)c23
KR2489;[!#1]N1C(=O)c2[cH][cH][cH]c3c([!#1])[cH][cH]c1c23
KR2490;[!#1]N1C(=O)c2[cH][cH][cH]c3c([cH][cH]c(C1=O)c23)N4[CH2][CH2]O[CH2][CH2]4
KR2491;[!#1]N1C(=O)c2[cH][cH]c([!#1])[cH]c2C1=O
KR2492;[!#1]N1C(=O)c2[cH][cH]c([cH]c2C1=O)[N+](=O)[O-]
KR2493;[!#1]N1C(=O)c2[cH][cH]c([cH]c2C1=O)C(=O)[OH]
KR2494;[!#1]N1C(=O)c2[cH][cH]c([cH]c2C1=O)c3[cH][cH]c4C(=O)N([!#1])C(=O)c4[cH]3
KR2495;[!#1]N1C(=O)c2[cH][cH]c(Br)[cH]c2C1=O
KR2496;[!#1]n1c(=O)c2[cH]c3c(=O)n([!#1])c(=O)c3[cH]c2c1=O
KR2497;[!#1]N1C(=O)N([!#1])C(=O)C([!#1])([!#1])C1=O
KR2498;[!#1]n1c(=O)n([!#1])c(=O)n([!#1])c1=O
KR2499;[!#1]n1c(=O)oc2[cH][cH][cH][cH]c12
KR2500;[!#1]n1c(=O)oc2[cH]c(Br)[cH][cH]c12
KR2501;[!#1]n1c(=O)oc2[cH]c(Cl)[cH][cH]c12
KR2502;[!#1]n1c(=S)n([!#1])c2[cH][cH][cH][cH]c12
KR2503;[!#1]n1c(=S)oc2[cH][cH][cH][cH]c12
KR2504;[!#1]n1c(=S)sc2[cH][cH][cH][cH]c12
KR2505;[!#1]N1c2[cH][cH][cH][cH]c2[CH]=[CH]c3[cH][cH][cH][cH]c13
KR2506;[!#1]N1c2[cH][cH][cH][cH]c2[CH]=[CH]c3[cH][cH]c([!#1])[cH]c13
KR2507;[!#1]N1c2[cH][cH][cH][cH]c2[CH2][CH2]c3[cH][cH][cH][cH]c13
KR2508;[!#1]N1c2[cH][cH][cH][cH]c2[CH2][CH2]c3[cH][cH]c([!#1])[cH]c13
KR2509;[!#1]N1c2[cH][cH][cH][cH]c2[CH2][CH2]c3[cH][cH]c([NH]C(=O)[!#1])[cH]c13
KR2510;[!#1]N1c2[cH][cH][cH][cH]c2C([CH3])([CH3])C1([!#1])[!#1]
KR2511;[!#1]n1c2[cH][cH][cH][cH]c2c(=O)c3[cH][cH][cH][cH]c13
KR2512;[!#1]n1c2[cH][cH][cH][cH]c2c3[cH][cH][cH][cH]c13
KR2513;[!#1]n1c2[cH][cH][cH][cH]c2c3nc4[cH][cH]c([cH]c4[cH]c13)[N+](=O)[O-]
KR2514;[!#1]N1c2[cH][cH][cH][cH]c2Oc3nnc(Cl)[cH]c13
KR2515;[!#1]N1c2[cH][cH][cH][cH]c2SC1([!#1])[!#1]
KR2516;[!#1]N1c2[cH][cH][cH][cH]c2S(c3[cH][cH][cH][cH]c13)
KR2517;[!#1]N1c2[cH][cH][cH][cH]c2S(c3[cH][cH]c([!#1])[cH]c13)
KR2518;[!#1]N1c2[cH][cH][cH][cH]c2S(c3[cH][cH]c([cH]c13)C(F)(F)F)
KR2519;[!#1]N1c2[cH][cH][cH][cH]c2S(c3[cH][cH]c([NH]C(=O)[!#1])[cH]c13)
KR2520;[!#1]n1c2[cH][cH]c(Br)[cH]c2c3[cH]c(Br)[cH][cH]c13
KR2521;[!#1]n1c2[cH][cH]c(Cl)[cH]c2c3[cH]c(Cl)[cH][cH]c13
KR2522;[!#1]n1c2[CH2][CH2][CH2][CH2]c2sc1=[NH]
KR2523;[!#1]n1c2[CH2][CH2][CH2]c2c(=[NH])c3[cH][cH][cH][cH]c13
KR2524;[!#1]n1c2[CH2][CH2][CH2]c2c3[cH][cH][cH][cH]c13
KR2525;[!#1]n1c-2c([CH2][CH2]c3c2[cH]nn3c4[cH][cH][cH][cH][cH]4)c5[cH][cH][cH][cH]c15
KR2526;[!#1]n1c2C(=O)[CH2][CH2][CH2]c2c3[cH]c([CH3])[cH][cH]c13
KR2527;[!#1]n1c2c(n([!#1])c3[cH][cH][cH][cH]c23)c4[cH][cH][cH][cH]c14
KR2528;[!#1]n1n[cH][n+]2nc([CH3])[cH]c([OH])c12
KR2529;[!#1]N1N=C([CH2][CH](C1=O)c2[cH][nH]c3[cH][cH][cH][cH]c23)c4[cH][cH][cH][cH][cH]4
KR2530;[!#1]N1N=C([CH2][CH](C1=O)c2[cH]n([!#1])c3[cH][cH][cH][cH]c23)c4[cH][cH][cH][cH][cH]4
KR2531;[!#1]N1N=C2[CH]([CH2][CH2]c3[cH][cH]c([!#1])[cH]c23)[CH]1c4[cH][cH]c([!#1])[cH][cH]4
KR2532;[!#1]N1N=C2[CH]([CH2][CH2]c3[cH]c([!#1])[cH][cH]c23)[CH]1c4[cH][cH]c([!#1])[cH][cH]4
KR2533;[!#1]n1nc([CH3])[cH]c1[CH3]
KR2534;[!#1]n1nc([CH3])c(Br)c1[CH3]
KR2535;[!#1]n1nc(c2[cH][cH][cH][cH][cH]2)c3[cH][cH][cH]c3c1c4[cH][cH][cH][cH][cH]4
KR2536;[!#1]n1nc(nc1c2[cH][cH][cH][cH][cH]2)c3[cH][cH][cH][cH][cH]3
KR2537;[!#1]n1nc2[cH][cH][cH][cH]c2n1
KR2538;[!#1]n1nc2C(=N[NH][CH3])c3nn([!#1])nc3C(=N[NH][CH3])c2n1
KR2539;[!#1]n1nc2C(=N[OH])c3nn([!#1])nc3C(=N[OH])c2n1
KR2540;[!#1]n1nc2C(=NN=C([CH3])[CH3])c3nn([!#1])nc3C(=NN=C([CH3])[CH3])c2n1
KR2541;[!#1]n1nc2C(=NOC(=O)[CH3])c3nn([!#1])nc3C(=NOC(=O)[CH3])c2n1
KR2542;[!#1]n1nnc2[cH][cH][cH][cH]c12
KR2543;[!#1]n1nnc2c(=O)oc3[cH][cH][cH][cH]c3c12
KR2544;[!#1]n1nnnc1C2([!#1])[CH2][CH2][CH2][CH2][CH2]2
KR2545;[!#1]n1nnnc1C2([!#1])[CH2][CH2][CH2][CH2]2
KR2546;[!#1]n1nnnc1c2[cH][cH][cH][cH][cH]2
KR2547;[!#1]O[!#1]
KR2548;[!#1]O[CH]([!#1])[!#1]
KR2549;[!#1]O[CH]([CH]([!#1])[CH2][CH]1[CH2][CH2]N([!#1])[CH2][CH]1[CH]([!#1])[!#1])c2[cH][cH]nc3[cH][cH][cH][cH]c23
KR2550;[!#1]O[CH]([CH3])[CH3]
KR2551;[!#1]O[CH]([CH3])C([!#1])([!#1])Cl
KR2552;[!#1]O[CH]([CH3])C(=O)[NH][NH2]
KR2553;[!#1]O[CH]([CH3])C(=O)[NH]N=[CH][!#1]
KR2554;[!#1]O[CH]([CH3])C(=O)[NH]N=[CH]c1[cH][cH][cH][cH][cH]1
KR2555;[!#1]O[CH]([CH3])C(=O)[NH]N=[CH]c1[cH][cH][cH]c([cH]1)[N+](=O)[O-]
KR2556;[!#1]O[CH]([CH3])C(=O)[NH]N=[CH]c1[cH]c([cH][cH]c1[OH])[N+](=O)[O-]
KR2557;[!#1]O[CH]([CH3])C(=O)[OH]
KR2558;[!#1]O[CH]([NH]C(=O)[!#1])C(Br)(Br)Br
KR2559;[!#1]O[CH]([NH]C(=O)[!#1])C(Cl)(Cl)Cl
KR2560;[!#1]O[CH](C(F)(F)F)C(F)(F)F
KR2561;[!#1]O[CH](F)F
KR2562;[!#1]O[CH]1[CH2][CH]([CH3])[CH2][CH2][CH]1[CH]([CH3])[CH3]
KR2563;[!#1]O[CH]1[CH2][CH2][CH]([CH2][CH2]1)C([CH3])([CH3])[CH3]
KR2564;[!#1]O[CH2][CH]([!#1])[!#1]
KR2565;[!#1]O[CH2][CH]([CH3])[CH3]
KR2566;[!#1]O[CH2][CH]([OH])[CH2][NH][CH]([CH3])[CH3]
KR2567;[!#1]O[CH2][CH]([OH])[CH2][NH]C([CH3])([CH3])[CH2]C([CH3])([CH3])[CH3]
KR2568;[!#1]O[CH2][CH]([OH])[CH2][NH]C([CH3])([CH3])[CH3]
